TransactionID,TransactionDate,CustomerID,ProductID,SalesChannel,ProductCategory,ProductName,DiscountRate,UnitPrice,UnitCost,Quantity,SalesAmount,CostAmount,Profit
200030,2025-11-27,C01043,P003,Online,Computers,Gaming Desktop,0.1,1980.0,1650.0,1,1980.0,1650.0,330.0
200031,2025-09-28,C00193,P026,Online,Gaming,Controller,0.1,72.0,45.0,1,72.0,45.0,27.0
200032,2025-10-29,C01058,P016,Online,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200033,2025-01-04,C00698,P008,Online,Tablets,Tablet 11,0.05,712.5,520.0,1,712.5,520.0,192.5
200034,2025-08-05,C00756,P004,Online,Computers,2-in-1 Convertible 13,0.1,1125.0,950.0,1,1125.0,950.0,175.0
200035,2025-12-22,C00649,P017,Online,Accessories,Wireless Mouse,0.0,40.0,18.0,5,200.0,90.0,110.0
200036,2025-06-07,C01032,P010,In‑Store,TVs,4K LED TV 55,0.05,855.0,650.0,1,855.0,650.0,205.0
200037,2025-04-08,C00631,P012,Online,TVs,4K OLED TV 55,0.15,1360.0,1200.0,1,1360.0,1200.0,160.0
200038,2025-11-29,C00507,P014,Online,Audio,Noise Cancelling Headphones,0.0,350.0,220.0,2,700.0,440.0,260.0
200039,2025-09-11,C01051,P009,Online,Tablets,Tablet Pro 13,0.0,1100.0,770.0,1,1100.0,770.0,330.0
200040,2025-04-16,C00494,P014,Online,Audio,Noise Cancelling Headphones,0.0,350.0,220.0,2,700.0,440.0,260.0
200041,2025-03-17,C00953,P009,In‑Store,Tablets,Tablet Pro 13,0.05,1045.0,770.0,1,1045.0,770.0,275.0
200042,2025-03-26,C00418,P005,Online,Phones,Smartphone X,0.0,1200.0,820.0,2,2400.0,1640.0,760.0
200043,2025-03-06,C01122,P021,Online,Accessories,Phone Case,0.05,33.25,12.0,3,99.75,36.0,63.75
200044,2025-11-19,C00263,P026,Online,Gaming,Controller,0.0,80.0,45.0,1,80.0,45.0,35.0
200045,2025-02-04,C01143,P001,Online,Computers,Laptop Pro 14,0.05,1710.0,1350.0,1,1710.0,1350.0,360.0
200046,2025-02-04,C00163,P009,Online,Tablets,Tablet Pro 13,0.0,1100.0,770.0,1,1100.0,770.0,330.0
200047,2025-11-10,C00360,P012,In‑Store,TVs,4K OLED TV 55,0.1,1440.0,1200.0,1,1440.0,1200.0,240.0
200048,2025-01-12,C00531,P023,In‑Store,Networking,Wi‑Fi Router AX,0.0,220.0,145.0,1,220.0,145.0,75.0
200049,2025-08-14,C00398,P013,Online,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200050,2025-02-22,C00948,P006,Online,Phones,Smartphone Mini,0.05,855.0,620.0,1,855.0,620.0,235.0
200051,2025-08-08,C00197,P010,In‑Store,TVs,4K LED TV 55,0.0,900.0,650.0,2,1800.0,1300.0,500.0
200052,2025-05-27,C00214,P006,In‑Store,Phones,Smartphone Mini,0.15,765.0,620.0,1,765.0,620.0,145.0
200053,2025-11-29,C00975,P021,Online,Accessories,Phone Case,0.05,33.25,12.0,4,133.0,48.0,85.0
200054,2025-06-14,C01083,P022,In‑Store,Accessories,HDMI Cable,0.05,23.75,8.0,2,47.5,16.0,31.5
200055,2025-12-24,C00860,P002,In‑Store,Computers,Laptop Air 13,0.0,1400.0,1050.0,1,1400.0,1050.0,350.0
200056,2025-04-10,C00392,P013,Online,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200057,2025-07-01,C00801,P022,In‑Store,Accessories,HDMI Cable,0.05,23.75,8.0,2,47.5,16.0,31.5
200058,2025-06-07,C00871,P007,Online,Phones,Smartphone Ultra,0.0,1450.0,980.0,1,1450.0,980.0,470.0
200059,2025-10-07,C00768,P022,Online,Accessories,HDMI Cable,0.05,23.75,8.0,6,142.5,48.0,94.5
200060,2025-10-09,C01151,P024,In‑Store,Networking,Mesh Wi‑Fi 2‑Pack,0.05,361.0,260.0,1,361.0,260.0,101.0
200061,2025-12-24,C00586,P013,In‑Store,TVs,4K OLED TV 65,0.05,2280.0,1800.0,2,4560.0,3600.0,960.0
200062,2025-04-28,C01167,P013,Online,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200063,2025-03-01,C01056,P013,In‑Store,TVs,4K OLED TV 65,0.05,2280.0,1800.0,2,4560.0,3600.0,960.0
200064,2025-08-29,C00385,P013,In‑Store,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200065,2025-01-26,C00289,P017,Online,Accessories,Wireless Mouse,0.05,38.0,18.0,4,152.0,72.0,80.0
200066,2025-05-17,C00692,P018,Online,Accessories,Mechanical Keyboard,0.0,150.0,85.0,1,150.0,85.0,65.0
200067,2025-10-30,C00954,P002,In‑Store,Computers,Laptop Air 13,0.2,1120.0,1050.0,2,2240.0,2100.0,140.0
200068,2025-01-21,C00168,P008,Online,Tablets,Tablet 11,0.05,712.5,520.0,1,712.5,520.0,192.5
200069,2025-09-07,C00156,P023,Online,Networking,Wi‑Fi Router AX,0.05,209.0,145.0,1,209.0,145.0,64.0
200070,2025-03-29,C01144,P006,In‑Store,Phones,Smartphone Mini,0.0,900.0,620.0,1,900.0,620.0,280.0
200071,2025-06-29,C00737,P026,In‑Store,Gaming,Controller,0.0,80.0,45.0,4,320.0,180.0,140.0
200072,2025-03-19,C00549,P026,In‑Store,Gaming,Controller,0.0,80.0,45.0,1,80.0,45.0,35.0
200073,2025-05-16,C00941,P016,Online,Audio,Soundbar 3.1,0.05,399.0,300.0,1,399.0,300.0,99.0
200074,2025-02-28,C00681,P010,Online,TVs,4K LED TV 55,0.05,855.0,650.0,2,1710.0,1300.0,410.0
200075,2025-10-07,C00755,P026,Online,Gaming,Controller,0.1,72.0,45.0,1,72.0,45.0,27.0
200076,2025-08-26,C00377,P018,Online,Accessories,Mechanical Keyboard,0.05,142.5,85.0,2,285.0,170.0,115.0
200077,2025-08-21,C00363,P006,Online,Phones,Smartphone Mini,0.0,900.0,620.0,1,900.0,620.0,280.0
200078,2025-04-05,C00182,P005,Online,Phones,Smartphone X,0.05,1140.0,820.0,1,1140.0,820.0,320.0
200079,2025-07-26,C01164,P017,Online,Accessories,Wireless Mouse,0.0,40.0,18.0,4,160.0,72.0,88.0
200080,2025-10-12,C00435,P016,In‑Store,Audio,Soundbar 3.1,0.15,357.0,300.0,1,357.0,300.0,57.0
200081,2025-05-27,C00690,P004,Online,Computers,2-in-1 Convertible 13,0.0,1250.0,950.0,1,1250.0,950.0,300.0
200082,2025-10-20,C01075,P005,In‑Store,Phones,Smartphone X,0.0,1200.0,820.0,1,1200.0,820.0,380.0
200083,2025-03-16,C00294,P023,Online,Networking,Wi‑Fi Router AX,0.05,209.0,145.0,2,418.0,290.0,128.0
200084,2025-09-15,C01129,P008,In‑Store,Tablets,Tablet 11,0.0,750.0,520.0,1,750.0,520.0,230.0
200085,2025-12-07,C00674,P010,Online,TVs,4K LED TV 55,0.0,900.0,650.0,2,1800.0,1300.0,500.0
200086,2025-09-07,C00620,P003,Online,Computers,Gaming Desktop,0.05,2090.0,1650.0,2,4180.0,3300.0,880.0
200087,2025-12-07,C00548,P007,In‑Store,Phones,Smartphone Ultra,0.05,1377.5,980.0,1,1377.5,980.0,397.5
200088,2025-09-20,C00809,P001,Online,Computers,Laptop Pro 14,0.0,1800.0,1350.0,2,3600.0,2700.0,900.0
200089,2025-04-27,C00892,P008,Online,Tablets,Tablet 11,0.05,712.5,520.0,2,1425.0,1040.0,385.0
200090,2025-02-08,C00779,P015,In‑Store,Audio,Bluetooth Speaker,0.0,180.0,110.0,2,360.0,220.0,140.0
200091,2025-11-07,C00026,P015,In‑Store,Audio,Bluetooth Speaker,0.0,180.0,110.0,2,360.0,220.0,140.0
200092,2025-05-26,C00769,P026,In‑Store,Gaming,Controller,0.0,80.0,45.0,1,80.0,45.0,35.0
200093,2025-01-23,C00001,P004,In‑Store,Computers,2-in-1 Convertible 13,0.15,1062.5,950.0,1,1062.5,950.0,112.5
200094,2025-06-25,C00468,P013,In‑Store,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200095,2025-06-06,C00519,P008,Online,Tablets,Tablet 11,0.1,675.0,520.0,2,1350.0,1040.0,310.0
200096,2025-01-14,C00050,P019,Online,Accessories,USB-C Hub,0.1,49.5,28.0,2,99.0,56.0,43.0
200097,2025-12-06,C00204,P015,Online,Audio,Bluetooth Speaker,0.0,180.0,110.0,2,360.0,220.0,140.0
200098,2025-06-09,C00860,P019,Online,Accessories,USB-C Hub,0.0,55.0,28.0,5,275.0,140.0,135.0
200099,2025-05-31,C01033,P003,Online,Computers,Gaming Desktop,0.05,2090.0,1650.0,2,4180.0,3300.0,880.0
200100,2025-09-20,C00505,P015,Online,Audio,Bluetooth Speaker,0.0,180.0,110.0,3,540.0,330.0,210.0
200101,2025-10-14,C00588,P007,Online,Phones,Smartphone Ultra,0.1,1305.0,980.0,1,1305.0,980.0,325.0
200102,2025-01-13,C00120,P012,Online,TVs,4K OLED TV 55,0.15,1360.0,1200.0,1,1360.0,1200.0,160.0
200103,2025-11-05,C01176,P002,Online,Computers,Laptop Air 13,0.15,1190.0,1050.0,1,1190.0,1050.0,140.0
200104,2025-01-31,C00256,P025,Online,Gaming,Game Console,0.05,617.5,480.0,1,617.5,480.0,137.5
200105,2025-01-05,C00044,P021,Online,Accessories,Phone Case,0.0,35.0,12.0,4,140.0,48.0,92.0
200106,2025-04-08,C00994,P018,In‑Store,Accessories,Mechanical Keyboard,0.0,150.0,85.0,2,300.0,170.0,130.0
200107,2025-08-29,C00300,P013,In‑Store,TVs,4K OLED TV 65,0.05,2280.0,1800.0,1,2280.0,1800.0,480.0
200108,2025-09-23,C00317,P018,Online,Accessories,Mechanical Keyboard,0.0,150.0,85.0,3,450.0,255.0,195.0
200109,2025-12-02,C00948,P009,In‑Store,Tablets,Tablet Pro 13,0.1,990.0,770.0,1,990.0,770.0,220.0
200110,2025-01-29,C00709,P013,In‑Store,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200111,2025-11-29,C00330,P007,In‑Store,Phones,Smartphone Ultra,0.05,1377.5,980.0,1,1377.5,980.0,397.5
200112,2025-08-23,C00185,P023,Online,Networking,Wi‑Fi Router AX,0.05,209.0,145.0,1,209.0,145.0,64.0
200113,2025-03-18,C01174,P026,In‑Store,Gaming,Controller,0.0,80.0,45.0,2,160.0,90.0,70.0
200114,2025-04-30,C00688,P020,In‑Store,Accessories,Wireless Charger,0.1,54.0,32.0,3,162.0,96.0,66.0
200115,2025-11-14,C00889,P007,Online,Phones,Smartphone Ultra,0.0,1450.0,980.0,1,1450.0,980.0,470.0
200116,2025-11-13,C00594,P019,Online,Accessories,USB-C Hub,0.1,49.5,28.0,1,49.5,28.0,21.5
200117,2025-05-28,C00668,P002,In‑Store,Computers,Laptop Air 13,0.05,1330.0,1050.0,1,1330.0,1050.0,280.0
200118,2025-03-20,C01026,P012,In‑Store,TVs,4K OLED TV 55,0.05,1520.0,1200.0,1,1520.0,1200.0,320.0
200119,2025-05-02,C01039,P004,Online,Computers,2-in-1 Convertible 13,0.1,1125.0,950.0,1,1125.0,950.0,175.0
200120,2025-09-17,C00079,P011,Online,TVs,4K LED TV 65,0.0,1300.0,950.0,1,1300.0,950.0,350.0
200121,2025-11-24,C00521,P023,Online,Networking,Wi‑Fi Router AX,0.05,209.0,145.0,1,209.0,145.0,64.0
200122,2025-10-06,C00533,P022,Online,Accessories,HDMI Cable,0.15,21.25,8.0,2,42.5,16.0,26.5
200123,2025-11-20,C00562,P014,In‑Store,Audio,Noise Cancelling Headphones,0.0,350.0,220.0,1,350.0,220.0,130.0
200124,2025-05-02,C01073,P015,In‑Store,Audio,Bluetooth Speaker,0.05,171.0,110.0,1,171.0,110.0,61.0
200125,2025-09-02,C00921,P015,Online,Audio,Bluetooth Speaker,0.1,162.0,110.0,3,486.0,330.0,156.0
200126,2025-04-12,C00957,P025,Online,Gaming,Game Console,0.0,650.0,480.0,1,650.0,480.0,170.0
200127,2025-10-28,C01161,P011,Online,TVs,4K LED TV 65,0.0,1300.0,950.0,1,1300.0,950.0,350.0
200128,2025-06-12,C00225,P023,Online,Networking,Wi‑Fi Router AX,0.0,220.0,145.0,1,220.0,145.0,75.0
200129,2025-08-22,C00359,P026,Online,Gaming,Controller,0.1,72.0,45.0,1,72.0,45.0,27.0
200130,2025-08-23,C00233,P008,Online,Tablets,Tablet 11,0.0,750.0,520.0,1,750.0,520.0,230.0
200131,2025-01-04,C00262,P007,In‑Store,Phones,Smartphone Ultra,0.0,1450.0,980.0,2,2900.0,1960.0,940.0
200132,2025-03-17,C00278,P007,Online,Phones,Smartphone Ultra,0.1,1305.0,980.0,1,1305.0,980.0,325.0
200133,2025-10-01,C01010,P022,In‑Store,Accessories,HDMI Cable,0.05,23.75,8.0,1,23.75,8.0,15.75
200134,2025-02-18,C00685,P007,In‑Store,Phones,Smartphone Ultra,0.2,1160.0,980.0,1,1160.0,980.0,180.0
200135,2025-04-18,C00683,P024,In‑Store,Networking,Mesh Wi‑Fi 2‑Pack,0.0,380.0,260.0,2,760.0,520.0,240.0
200136,2025-03-29,C00913,P016,In‑Store,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200137,2025-01-18,C00096,P021,Online,Accessories,Phone Case,0.0,35.0,12.0,6,210.0,72.0,138.0
200138,2025-10-28,C00356,P002,Online,Computers,Laptop Air 13,0.0,1400.0,1050.0,1,1400.0,1050.0,350.0
200139,2025-09-09,C00358,P015,In‑Store,Audio,Bluetooth Speaker,0.0,180.0,110.0,2,360.0,220.0,140.0
200140,2025-08-05,C00156,P003,Online,Computers,Gaming Desktop,0.0,2200.0,1650.0,1,2200.0,1650.0,550.0
200141,2025-05-20,C00927,P001,In‑Store,Computers,Laptop Pro 14,0.0,1800.0,1350.0,1,1800.0,1350.0,450.0
200142,2025-05-09,C00037,P016,In‑Store,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200143,2025-02-18,C00844,P017,In‑Store,Accessories,Wireless Mouse,0.1,36.0,18.0,1,36.0,18.0,18.0
200144,2025-03-03,C00177,P014,Online,Audio,Noise Cancelling Headphones,0.0,350.0,220.0,1,350.0,220.0,130.0
200145,2025-01-22,C00476,P005,Online,Phones,Smartphone X,0.0,1200.0,820.0,1,1200.0,820.0,380.0
200146,2025-06-07,C00103,P019,In‑Store,Accessories,USB-C Hub,0.0,55.0,28.0,5,275.0,140.0,135.0
200147,2025-10-18,C00842,P008,In‑Store,Tablets,Tablet 11,0.0,750.0,520.0,1,750.0,520.0,230.0
200148,2025-12-19,C00696,P010,Online,TVs,4K LED TV 55,0.05,855.0,650.0,1,855.0,650.0,205.0
200149,2025-08-28,C01007,P014,Online,Audio,Noise Cancelling Headphones,0.0,350.0,220.0,2,700.0,440.0,260.0
200150,2025-11-28,C00810,P002,Online,Computers,Laptop Air 13,0.1,1260.0,1050.0,1,1260.0,1050.0,210.0
200151,2025-08-15,C01035,P001,In‑Store,Computers,Laptop Pro 14,0.0,1800.0,1350.0,1,1800.0,1350.0,450.0
200152,2025-07-20,C00662,P002,Online,Computers,Laptop Air 13,0.2,1120.0,1050.0,1,1120.0,1050.0,70.0
200153,2025-08-21,C00884,P007,Online,Phones,Smartphone Ultra,0.05,1377.5,980.0,1,1377.5,980.0,397.5
200154,2025-03-04,C00454,P011,In‑Store,TVs,4K LED TV 65,0.1,1170.0,950.0,1,1170.0,950.0,220.0
200155,2025-07-12,C00025,P001,In‑Store,Computers,Laptop Pro 14,0.1,1620.0,1350.0,1,1620.0,1350.0,270.0
200156,2025-02-04,C00193,P002,Online,Computers,Laptop Air 13,0.0,1400.0,1050.0,1,1400.0,1050.0,350.0
200157,2025-01-30,C00867,P016,Online,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200158,2025-04-02,C01010,P012,In‑Store,TVs,4K OLED TV 55,0.15,1360.0,1200.0,1,1360.0,1200.0,160.0
200159,2025-10-27,C00203,P019,Online,Accessories,USB-C Hub,0.0,55.0,28.0,2,110.0,56.0,54.0
200160,2025-07-03,C00776,P019,In‑Store,Accessories,USB-C Hub,0.15,46.75,28.0,2,93.5,56.0,37.5
200161,2025-02-21,C00647,P001,Online,Computers,Laptop Pro 14,0.05,1710.0,1350.0,1,1710.0,1350.0,360.0
200162,2025-05-13,C00786,P021,In‑Store,Accessories,Phone Case,0.0,35.0,12.0,2,70.0,24.0,46.0
200163,2025-01-06,C00536,P014,In‑Store,Audio,Noise Cancelling Headphones,0.1,315.0,220.0,2,630.0,440.0,190.0
200164,2025-08-29,C00135,P016,In‑Store,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200165,2025-07-27,C01111,P017,In‑Store,Accessories,Wireless Mouse,0.05,38.0,18.0,2,76.0,36.0,40.0
200166,2025-11-18,C00770,P004,In‑Store,Computers,2-in-1 Convertible 13,0.05,1187.5,950.0,1,1187.5,950.0,237.5
200167,2025-04-30,C01008,P004,In‑Store,Computers,2-in-1 Convertible 13,0.15,1062.5,950.0,1,1062.5,950.0,112.5
200168,2025-03-14,C00829,P022,In‑Store,Accessories,HDMI Cable,0.05,23.75,8.0,3,71.25,24.0,47.25
200169,2025-03-12,C00210,P016,Online,Audio,Soundbar 3.1,0.05,399.0,300.0,1,399.0,300.0,99.0
200170,2025-12-08,C00886,P026,In‑Store,Gaming,Controller,0.05,76.0,45.0,2,152.0,90.0,62.0
200171,2025-05-02,C01034,P020,Online,Accessories,Wireless Charger,0.05,57.0,32.0,6,342.0,192.0,150.0
200172,2025-10-29,C00051,P004,In‑Store,Computers,2-in-1 Convertible 13,0.05,1187.5,950.0,1,1187.5,950.0,237.5
200173,2025-02-27,C00962,P025,Online,Gaming,Game Console,0.05,617.5,480.0,1,617.5,480.0,137.5
200174,2025-06-19,C00623,P002,In‑Store,Computers,Laptop Air 13,0.0,1400.0,1050.0,1,1400.0,1050.0,350.0
200175,2025-01-11,C00863,P022,Online,Accessories,HDMI Cable,0.0,25.0,8.0,2,50.0,16.0,34.0
200176,2025-04-20,C00567,P022,Online,Accessories,HDMI Cable,0.05,23.75,8.0,4,95.0,32.0,63.0
200177,2025-02-15,C00006,P016,In‑Store,Audio,Soundbar 3.1,0.0,420.0,300.0,1,420.0,300.0,120.0
200178,2025-03-16,C00507,P012,Online,TVs,4K OLED TV 55,0.0,1600.0,1200.0,1,1600.0,1200.0,400.0
200179,2025-11-12,C01182,P015,Online,Audio,Bluetooth Speaker,0.05,171.0,110.0,1,171.0,110.0,61.0
200180,2025-03-31,C00776,P004,Online,Computers,2-in-1 Convertible 13,0.05,1187.5,950.0,1,1187.5,950.0,237.5
200181,2025-05-22,C00607,P021,Online,Accessories,Phone Case,0.05,33.25,12.0,4,133.0,48.0,85.0
200182,2025-02-17,C00108,P011,Online,TVs,4K LED TV 65,0.0,1300.0,950.0,1,1300.0,950.0,350.0
200183,2025-04-06,C00629,P018,Online,Accessories,Mechanical Keyboard,0.05,142.5,85.0,2,285.0,170.0,115.0
200184,2025-09-03,C00481,P019,In‑Store,Accessories,USB-C Hub,0.05,52.25,28.0,4,209.0,112.0,97.0
200185,2025-05-12,C00819,P019,Online,Accessories,USB-C Hub,0.0,55.0,28.0,2,110.0,56.0,54.0
200186,2025-02-08,C00060,P014,In‑Store,Audio,Noise Cancelling Headphones,0.05,332.5,220.0,1,332.5,220.0,112.5
200187,2025-05-06,C00943,P018,Online,Accessories,Mechanical Keyboard,0.0,150.0,85.0,1,150.0,85.0,65.0
200188,2025-08-15,C01189,P005,In‑Store,Phones,Smartphone X,0.0,1200.0,820.0,2,2400.0,1640.0,760.0
200189,2025-09-09,C00979,P010,Online,TVs,4K LED TV 55,0.1,810.0,650.0,1,810.0,650.0,160.0
200190,2025-03-14,C01093,P002,Online,Computers,Laptop Air 13,0.15,1190.0,1050.0,1,1190.0,1050.0,140.0
200191,2025-09-25,C00593,P022,Online,Accessories,HDMI Cable,0.0,25.0,8.0,6,150.0,48.0,102.0
200192,2025-04-28,C00029,P005,In‑Store,Phones,Smartphone X,0.05,1140.0,820.0,1,1140.0,820.0,320.0
200193,2025-12-08,C00657,P023,Online,Networking,Wi‑Fi Router AX,0.05,209.0,145.0,1,209.0,145.0,64.0
200194,2025-12-21,C00123,P025,Online,Gaming,Game Console,0.0,650.0,480.0,2,1300.0,960.0,340.0
200195,2025-03-29,C00501,P001,Online,Computers,Laptop Pro 14,0.0,1800.0,1350.0,1,1800.0,1350.0,450.0
200196,2025-10-31,C00338,P026,Online,Gaming,Controller,0.05,76.0,45.0,2,152.0,90.0,62.0
200197,2025-01-29,C00538,P008,In‑Store,Tablets,Tablet 11,0.0,750.0,520.0,1,750.0,520.0,230.0
200198,2025-06-19,C00781,P008,Online,Tablets,Tablet 11,0.0,750.0,520.0,1,750.0,520.0,230.0
200199,2025-04-16,C01083,P020,In‑Store,Accessories,Wireless Charger,0.05,57.0,32.0,4,228.0,128.0,100.0
200200,2025-10-08,C00667,P020,In‑Store,Accessories,Wireless Charger,0.1,54.0,32.0,2,108.0,64.0,44.0
200201,2025-11-16,C00291,P026,In‑Store,Gaming,Controller,0.1,72.0,45.0,1,72.0,45.0,27.0
200202,2025-01-07,C00207,P008,In‑Store,Tablets,Tablet 11,0.1,675.0,520.0,1,675.0,520.0,155.0
200203,2025-01-26,C00900,P017,In‑Store,Accessories,Wireless Mouse,0.05,38.0,18.0,2,76.0,36.0,40.0
200204,2025-09-23,C00790,P012,Online,TVs,4K OLED TV 55,0.05,1520.0,1200.0,1,1520.0,1200.0,320.0
200205,2025-10-17,C00315,P026,Online,Gaming,Controller,0.15,68.0,45.0,2,136.0,90.0,46.0
200206,2025-08-18,C00919,P006,Online,Phones,Smartphone Mini,0.0,900.0,620.0,2,1800.0,1240.0,560.0
200207,2025-09-12,C01144,P025,Online,Gaming,Game Console,0.0,650.0,480.0,1,650.0,480.0,170.0
200208,2025-06-17,C00592,P012,Online,TVs,4K OLED TV 55,0.1,1440.0,1200.0,1,1440.0,1200.0,240.0
200209,2025-06-25,C00039,P017,In‑Store,Accessories,Wireless Mouse,0.0,40.0,18.0,1,40.0,18.0,22.0
200210,2025-02-28,C00555,P026,Online,Gaming,Controller,0.1,72.0,45.0,1,72.0,45.0,27.0
200211,2025-01-30,C01010,P002,Online,Computers,Laptop Air 13,0.0,1400.0,1050.0,2,2800.0,2100.0,700.0
200212,2025-02-20,C00251,P006,In‑Store,Phones,Smartphone Mini,0.0,900.0,620.0,1,900.0,620.0,280.0
200213,2025-11-24,C00002,P013,Online,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200214,2025-12-11,C01122,P022,In‑Store,Accessories,HDMI Cable,0.05,23.75,8.0,1,23.75,8.0,15.75
200215,2025-12-19,C00132,P011,Online,TVs,4K LED TV 65,0.0,1300.0,950.0,1,1300.0,950.0,350.0
200216,2025-08-10,C00675,P003,Online,Computers,Gaming Desktop,0.0,2200.0,1650.0,1,2200.0,1650.0,550.0
200217,2025-08-29,C00320,P013,In‑Store,TVs,4K OLED TV 65,0.0,2400.0,1800.0,1,2400.0,1800.0,600.0
200218,2025-05-20,C00275,P010,Online,TVs,4K LED TV 55,0.05,855.0,650.0,1,855.0,650.0,205.0
200219,2025-02-06,C01110,P023,In‑Store,Networking,Wi‑Fi Router AX,0.15,187.0,145.0,1,187.0,145.0,42.0
200220,2025-01-16,C00083,P019,Online,Accessories,USB-C Hub,0.0,55.0,28.0,1,55.0,28.0,27.0
200221,2025-04-20,C00250,P026,Online,Gaming,Controller,0.0,80.0,45.0,1,80.0,45.0,35.0
