DateKey,KPIID,ActualValue,TargetValue,Status,DepartmentID
20241001,KPI10,6.72,6.3,Red,OPS
20241001,KPI11,69.22,73.5,Red,CS
20241001,KPI12,204.6,210,Yellow,SAL
20241101,KPI01,488.83,487.916,Green,FIN
20241101,KPI02,14.2,15.25,Red,FIN
20241101,KPI03,83.5,84.5,Yellow,CS
20241101,KPI04,86.7,89.42,Red,SAL
20241101,KPI05,91.1,92.88,Red,OPS
20241101,KPI06,8.1,7.33,Red,OPS
20241101,KPI07,74.2,77.21,Red,HR
20241101,KPI08,7.03,8.33,Red,HR
20241101,KPI09,51.5,59.38,Red,IT
20241101,KPI10,6.7,6.17,Red,OPS
20241101,KPI11,68.8,74.46,Red,CS
20241101,KPI12,207,212.5,Yellow,SAL
20241201,KPI01,527.164,490.833,Green,FIN
20241201,KPI02,15.01,15.5,Yellow,FIN
20241201,KPI03,84.68,85,Yellow,CS
20241201,KPI04,87.99,89.83,Red,SAL
20241201,KPI05,92.36,93.25,Yellow,OPS
20241201,KPI06,7.73,7.17,Red,OPS
20241201,KPI07,75.36,77.92,Red,HR
20241201,KPI08,7.57,8.67,Red,HR
20241201,KPI09,53.47,61.25,Red,IT
20241201,KPI10,6.38,6.05,Yellow,OPS
20241201,KPI11,71.07,75.42,Red,CS
20241201,KPI12,218.65,215,Green,SAL
20250101,KPI01,478.828,493.75,Red,FIN
20250101,KPI02,14.56,15.75,Red,FIN
20250101,KPI03,82.37,85.5,Red,CS
20250101,KPI04,87.14,90.25,Red,SAL
20250101,KPI05,90.58,93.62,Red,OPS
20250101,KPI06,8.04,7,Red,OPS
20250101,KPI07,73.3,78.62,Red,HR
20250101,KPI08,7.14,9,Red,HR
20250101,KPI09,53.4,63.12,Red,IT
20250101,KPI10,6.59,5.92,Red,OPS
20250101,KPI11,69.26,76.38,Red,CS
20250101,KPI12,208.69,217.5,Red,SAL
20250201,KPI01,487.986,496.666,Red,FIN
20250201,KPI02,14.49,16,Red,FIN
20250201,KPI03,81.71,86,Red,CS
20250201,KPI04,86.29,90.67,Red,SAL
20250201,KPI05,90.53,94,Red,OPS
20250201,KPI06,7.95,6.83,Red,OPS
20250201,KPI07,72.72,79.33,Red,HR
20250201,KPI08,7.46,9.33,Red,HR
20250201,KPI09,54.85,65,Red,IT
20250201,KPI10,6.59,5.8,Red,OPS
20250201,KPI11,68.83,77.33,Red,CS
20250201,KPI12,209.07,220,Red,SAL
20250301,KPI01,498.242,499.583,Yellow,FIN
20250301,KPI02,15.02,16.25,Red,FIN
20250301,KPI03,84.9,86.5,Red,CS
20250301,KPI04,87.68,91.08,Red,SAL
20250301,KPI05,92.1,94.38,Red,OPS
20250301,KPI06,7.66,6.67,Red,OPS
20250301,KPI07,74.88,80.04,Red,HR
20250301,KPI08,7.93,9.67,Red,HR
20250301,KPI09,57.3,66.88,Red,IT
20250301,KPI10,6.34,5.67,Red,OPS
20250301,KPI11,71.12,78.29,Red,CS
20250301,KPI12,216.6,222.5,Yellow,SAL
20250401,KPI01,508.04,502.5,Green,FIN
20250401,KPI02,15.25,16.5,Red,FIN
20250401,KPI03,84.25,87,Red,CS
20250401,KPI04,88,91.5,Red,SAL
20250401,KPI05,92.35,94.75,Red,OPS
20250401,KPI06,7.45,6.5,Red,OPS
20250401,KPI07,76.3,80.75,Red,HR
20250401,KPI08,8.06,10,Red,HR
20250401,KPI09,58.33,68.75,Red,IT
20250401,KPI10,6.15,5.55,Red,OPS
20250401,KPI11,72.7,79.25,Red,CS
20250401,KPI12,220,225,Yellow,SAL
20250501,KPI01,515.594,505.416,Green,FIN
20250501,KPI02,15.53,16.75,Red,FIN
20250501,KPI03,85.6,87.5,Red,CS
20250501,KPI04,89,91.92,Red,SAL
20250501,KPI05,93.62,95.12,Red,OPS
20250501,KPI06,7.37,6.33,Red,OPS
20250501,KPI07,76.72,81.46,Red,HR
20250501,KPI08,8.2,10.33,Red,HR
20250501,KPI09,60.79,70.62,Red,IT
20250501,KPI10,6.1,5.42,Red,OPS
20250501,KPI11,74,80.21,Red,CS
20250501,KPI12,224.6,227.5,Yellow,SAL
20250601,KPI01,523.404,508.333,Green,FIN
20250601,KPI02,15.87,17,Red,FIN
20250601,KPI03,86.8,88,Yellow,CS
20250601,KPI04,89.32,92.33,Red,SAL
20250601,KPI05,93.88,95.5,Red,OPS
20250601,KPI06,7.08,6.17,Red,OPS
20250601,KPI07,77.9,82.17,Red,HR
20250601,KPI08,8.24,10.67,Red,HR
20250601,KPI09,62.26,72.5,Red,IT
20250601,KPI10,5.91,5.3,Red,OPS
20250601,KPI11,74.59,81.17,Red,CS
20250601,KPI12,226.03,230,Yellow,SAL
20250701,KPI01,537.924,511.25,Green,FIN
20250701,KPI02,16.15,17.25,Red,FIN
20250701,KPI03,87.15,88.5,Yellow,CS
20250701,KPI04,89.54,92.75,Red,SAL
20250701,KPI05,94.13,95.88,Red,OPS
20250701,KPI06,6.98,6,Red,OPS
20250701,KPI07,78.33,82.88,Red,HR
20250701,KPI08,8.38,11,Red,HR
20250701,KPI09,63.72,74.38,Red,IT
20250701,KPI10,5.76,5.17,Red,OPS
20250701,KPI11,75.17,82.12,Red,CS
20250701,KPI12,232.7,232.5,Green,SAL
20250801,KPI01,535.41,514.166,Green,FIN
20250801,KPI02,16.24,17.5,Red,FIN
20250801,KPI03,86.51,89,Red,CS
20250801,KPI04,89.67,93.17,Red,SAL
20250801,KPI05,94.28,96.25,Red,OPS
20250801,KPI06,6.97,5.83,Red,OPS
20250801,KPI07,77.75,83.58,Red,HR
20250801,KPI08,8.59,11.33,Red,HR
20250801,KPI09,65.19,76.25,Red,IT
20250801,KPI10,5.77,5.05,Red,OPS
20250801,KPI11,75.76,83.08,Red,CS
20250801,KPI12,235.15,235,Green,SAL
20250901,KPI01,527.23,517.083,Green,FIN
20250901,KPI02,16.16,17.75,Red,FIN
20250901,KPI03,87,89.5,Red,CS
20250901,KPI04,89,93.58,Red,SAL
20250901,KPI05,93.7,96.62,Red,OPS
20250901,KPI06,6.83,5.67,Red,OPS
20250901,KPI07,78.4,84.29,Red,HR
20250901,KPI08,9,11.67,Red,HR
20250901,KPI09,66,78.12,Red,IT
20250901,KPI10,5.64,4.92,Red,OPS
20250901,KPI11,74.6,84.04,Red,CS
20250901,KPI12,234.3,237.5,Yellow,SAL
20251001,KPI01,524.776,520,Green,FIN
20251001,KPI02,16.44,18,Red,FIN
20251001,KPI03,86.35,90,Red,CS
20251001,KPI04,89.22,94,Red,SAL
20251001,KPI05,93.85,97,Red,OPS
20251001,KPI06,6.82,5.5,Red,OPS
20251001,KPI07,77.82,85,Red,HR
20251001,KPI08,9.31,12,Red,HR
20251001,KPI09,66.45,80,Red,IT
20251001,KPI10,5.65,4.8,Red,OPS
20251001,KPI11,76.18,85,Red,CS
20251001,KPI12,233.4,240,Yellow,SAL
20251101,KPI01,522.766,520,Green,FIN
20251101,KPI02,16.36,18,Red,FIN
20251101,KPI03,87.7,90,Red,CS
20251101,KPI04,89.34,94,Red,SAL
20251101,KPI05,94.1,97,Red,OPS
20251101,KPI06,6.78,5.5,Red,OPS
20251101,KPI07,79.24,85,Red,HR
20251101,KPI08,9.73,12,Red,HR
20251101,KPI09,68.9,80,Red,IT
20251101,KPI10,5.62,4.8,Red,OPS
20251101,KPI11,75.76,85,Red,CS
20251101,KPI12,235.8,240,Yellow,SAL
20251201,KPI01,563.452,520,Green,FIN
20251201,KPI02,17.24,18,Red,FIN
20251201,KPI03,88.92,90,Yellow,CS
20251201,KPI04,90.66,94,Red,SAL
20251201,KPI05,95.39,97,Red,OPS
20251201,KPI06,6.44,5.5,Red,OPS
20251201,KPI07,80.45,85,Red,HR
20251201,KPI08,10.34,12,Red,HR
20251201,KPI09,71.04,80,Red,IT
20251201,KPI10,5.32,4.8,Red,OPS
20251201,KPI11,78.1,85,Red,CS
20251201,KPI12,248.32,240,Green,SAL
