ProjectID,TaskID,PhaseID,Discipline,TaskName,BaselineStart,BaselineFinish,ActualStart,ActualFinish,PercentComplete,Status,Priority,PlannedDurationDays,ActualDurationDays,BudgetCostCAD,ActualCostCAD,PredecessorTaskID
PRJ001,T020,PH04,Structure,Structural steel erection,2025-06-06,2025-06-21,2025-06-02,2025-06-19,100,Complete,High,15,17,195198,236098,
PRJ001,T021,PH04,Structure,Decking & roof structure,2025-06-14,2025-06-24,2025-06-21,2025-07-01,100,Complete,High,10,10,92235,87875,T020
PRJ001,T022,PH04,Structure,Exterior framing,2025-06-19,2025-07-01,2025-06-19,2025-06-30,100,Complete,High,12,11,116655,118748,T021
PRJ001,T023,PH04,Envelope,Building envelope (sheathing/air barrier),2025-06-25,2025-07-07,2025-06-24,2025-07-04,100,Complete,Medium,12,10,19678,17960,T022
PRJ001,T024,PH04,Envelope,Windows & glazing,2025-07-01,2025-07-11,2025-07-03,2025-07-12,100,Complete,Medium,10,9,43609,49374,
PRJ001,T025,PH04,Envelope,Roofing membrane,2025-07-06,2025-07-14,2025-07-07,2025-07-14,100,Complete,Medium,8,7,6190,6173,
PRJ001,T026,PH05,Electrical,Electrical rough-in,2025-07-31,2025-08-15,2025-07-29,2025-08-13,100,Complete,High,15,15,50896,53163,
PRJ001,T027,PH05,Plumbing,Plumbing rough-in,2025-08-08,2025-08-22,2025-08-07,2025-08-18,100,Complete,High,14,11,58171,57524,T026
PRJ001,T028,PH05,HVAC,HVAC rough-in,2025-08-15,2025-08-31,2025-08-14,2025-09-01,100,Complete,High,16,18,106802,109703,T027
PRJ001,T029,PH05,Fire,Fire protection rough-in,2025-08-23,2025-09-02,2025-08-23,2025-08-31,100,Complete,Medium,10,8,30396,30911,T028
PRJ001,T030,PH05,MEP,MEP inspections,2025-08-28,2025-09-04,2025-08-31,2025-09-09,100,Complete,Medium,7,9,5066,4839,T029
PRJ001,T031,PH06,Interiors,Drywall install,2025-08-20,2025-09-03,2025-08-21,2025-09-01,100,Complete,Medium,14,11,85711,81369,
PRJ001,T032,PH06,Interiors,Drywall finishing,2025-08-27,2025-09-08,2025-08-24,2025-09-07,100,Complete,Medium,12,14,53781,60720,
PRJ001,T033,PH06,Finishes,Prime & paint,2025-09-02,2025-09-14,2025-09-02,2025-09-11,100,Complete,Medium,12,9,34516,34992,T032
PRJ001,T034,PH06,Finishes,Ceilings (T-bar & specialty),2025-09-08,2025-09-18,2025-09-09,2025-09-19,60,In Progress,Medium,10,10,40399,29844,T033
PRJ001,T035,PH06,Finishes,Flooring installation,2025-09-13,2025-09-25,2025-09-11,2025-09-25,28,In Progress,Medium,12,14,33514,10923,
PRJ001,T036,PH06,Finishes,Millwork & casework,2025-09-19,2025-09-29,2025-09-18,2025-09-29,0,Not Started,Medium,10,11,42863,0,
PRJ001,T037,PH06,Finishes,Doors & hardware,2025-09-24,2025-10-02,2025-09-25,2025-10-04,0,Not Started,Medium,8,9,26121,0,
PRJ001,T038,PH06,Electrical,Lighting fixtures install,2025-09-28,2025-10-05,2025-09-28,2025-10-02,0,Not Started,Medium,7,4,21572,0,T037
PRJ001,T039,PH06,Plumbing,Plumbing fixtures install,2025-10-01,2025-10-08,2025-10-02,2025-10-08,0,Not Started,Medium,7,6,25508,0,T038
PRJ001,T040,PH06,HVAC,Final HVAC equipment install,2025-10-04,2025-10-12,2025-10-06,2025-10-10,0,Not Started,Medium,8,4,44748,0,T039
PRJ001,T041,PH06,Specialty,Elevator installation,2025-10-08,2025-10-22,2025-10-08,2025-10-24,0,Not Started,Medium,14,16,53993,0,
PRJ001,T042,PH07,Commissioning,Controls & balancing,2025-10-24,2025-11-03,2025-10-26,2025-11-02,0,Not Started,Medium,10,7,12740,0,
PRJ001,T043,PH07,Commissioning,Life safety testing,2025-10-29,2025-11-04,2025-10-29,2025-11-03,0,Not Started,Medium,6,5,13765,0,T042
PRJ001,T044,PH07,Closeout,Final clean,2025-11-01,2025-11-04,2025-10-31,2025-11-01,0,Not Started,Medium,3,1,5000,0,T043
PRJ001,T045,PH07,Closeout,Deficiency walk-through (punch list),2025-11-03,2025-11-08,2025-11-05,2025-11-11,0,Not Started,Medium,5,6,5000,0,T044
PRJ001,T046,PH07,Closeout,Punch list completion,2025-11-05,2025-11-15,2025-11-05,2025-11-17,0,Not Started,High,10,12,14927,0,
PRJ001,T047,PH07,Closeout,Owner training & handover,2025-11-10,2025-11-13,2025-11-09,2025-11-10,0,Not Started,Medium,3,1,5000,0,T046
PRJ001,T048,PH07,Closeout,Substantial completion / occupancy,2025-11-12,2025-11-13,2025-11-13,2025-11-15,0,Not Started,Medium,1,2,5000,0,
