CheckInID,MemberID,ClassID,CheckInDate,DurationMinutes
CHK00091,MB0419,C08,2024-05-12,45
CHK00092,MB0654,C03,2024-12-24,90
CHK00093,MB0380,C01,2024-06-22,75
CHK00094,MB0693,C05,2024-05-24,75
CHK00095,MB0400,C02,2024-06-08,90
CHK00096,MB0643,C02,2024-05-12,30
CHK00097,MB0219,C07,2024-04-24,75
CHK00098,MB0529,C02,2024-11-26,30
CHK00099,MB0629,C07,2024-12-17,75
CHK00100,MB0581,C07,2024-02-16,45
CHK00101,MB0205,C05,2024-05-08,75
CHK00102,MB0398,C07,2024-03-18,90
CHK00103,MB0271,C04,2024-03-23,60
CHK00104,MB0632,C08,2024-12-20,30
CHK00105,MB0540,C07,2024-01-18,30
CHK00106,MB0312,C03,2024-02-22,45
CHK00107,MB0445,C06,2024-04-11,60
CHK00108,MB0799,C08,2024-02-19,45
CHK00109,MB0326,C07,2024-12-10,45
CHK00110,MB0317,C05,2024-10-30,90
CHK00111,MB0217,C06,2024-06-23,30
CHK00112,MB0699,C05,2024-07-26,90
CHK00113,MB0402,C01,2024-05-18,90
CHK00114,MB0635,C01,2024-07-08,75
CHK00115,MB0363,C01,2024-09-02,75
CHK00116,MB0456,C04,2024-05-06,30
CHK00117,MB0659,C05,2024-09-16,75
CHK00118,MB0718,C01,2024-08-23,75
CHK00119,MB0322,C01,2024-01-24,90
CHK00120,MB0153,C08,2024-10-22,90
CHK00121,MB0586,C01,2024-09-07,30
CHK00122,MB0359,C07,2024-02-16,45
CHK00123,MB0567,C07,2024-03-16,45
CHK00124,MB0099,C08,2024-09-19,30
CHK00125,MB0364,C04,2024-11-15,60
CHK00126,MB0714,C06,2024-03-25,30
CHK00127,MB0277,C04,2024-06-29,45
CHK00128,MB0345,C06,2024-02-19,75
CHK00129,MB0517,C02,2024-03-23,45
CHK00130,MB0064,C07,2024-01-18,45
CHK00131,MB0559,C06,2024-06-11,75
CHK00132,MB0519,C02,2024-07-21,90
CHK00133,MB0672,C07,2024-11-18,30
CHK00134,MB0077,C04,2024-04-02,45
CHK00135,MB0719,C05,2024-02-12,75
CHK00136,MB0241,C03,2024-03-17,75
CHK00137,MB0070,C04,2024-06-28,30
CHK00138,MB0437,C07,2024-08-17,90
CHK00139,MB0668,C05,2024-12-06,30
CHK00140,MB0776,C07,2024-04-13,90
CHK00141,MB0191,C05,2024-08-03,45
CHK00142,MB0069,C06,2024-01-20,60
CHK00143,MB0672,C01,2024-08-24,90
CHK00144,MB0352,C07,2024-09-28,75
CHK00145,MB0115,C08,2024-08-12,30
CHK00146,MB0572,C02,2024-02-24,30
CHK00147,MB0123,C05,2024-05-12,30
CHK00148,MB0737,C08,2024-11-22,75
CHK00149,MB0686,C04,2024-10-12,75
CHK00150,MB0200,C05,2024-02-18,45
CHK00151,MB0077,C08,2024-12-31,90
CHK00152,MB0731,C06,2024-09-04,90
CHK00153,MB0186,C08,2024-04-23,45
CHK00154,MB0349,C07,2024-11-01,90
CHK00155,MB0322,C04,2024-11-03,30
CHK00156,MB0412,C06,2024-11-29,90
CHK00157,MB0106,C03,2024-08-24,90
CHK00158,MB0440,C06,2024-10-30,60
CHK00159,MB0708,C06,2024-09-05,30
CHK00160,MB0146,C03,2024-11-23,75
CHK00161,MB0154,C01,2024-05-24,30
CHK00162,MB0270,C07,2024-01-07,60
CHK00163,MB0003,C05,2024-05-23,90
CHK00164,MB0245,C06,2024-09-02,30
CHK00165,MB0200,C08,2024-05-05,60
CHK00166,MB0632,C08,2024-01-10,30
CHK00167,MB0139,C06,2024-02-01,45
CHK00168,MB0453,C08,2024-04-24,75
CHK00169,MB0517,C05,2024-04-20,75
CHK00170,MB0767,C01,2024-12-20,30
CHK00171,MB0563,C06,2024-09-21,90
CHK00172,MB0487,C02,2024-08-21,75
CHK00173,MB0427,C05,2024-01-15,75
CHK00174,MB0748,C04,2024-07-01,75
CHK00175,MB0298,C08,2024-09-27,45
CHK00176,MB0738,C02,2024-11-04,90
CHK00177,MB0347,C02,2024-06-08,75
CHK00178,MB0490,C01,2024-06-06,75
CHK00179,MB0012,C05,2024-05-11,90
CHK00180,MB0656,C02,2024-01-20,60
CHK00181,MB0333,C07,2024-05-28,90
CHK00182,MB0222,C07,2024-01-16,90
CHK00183,MB0769,C06,2024-02-03,75
CHK00184,MB0208,C06,2024-08-18,75
CHK00185,MB0206,C02,2024-10-12,90
CHK00186,MB0149,C03,2024-03-26,90
CHK00187,MB0430,C07,2024-05-03,75
CHK00188,MB0678,C06,2024-12-20,90
CHK00189,MB0528,C03,2024-04-13,30
CHK00190,MB0599,C04,2024-06-19,45
CHK00191,MB0357,C05,2024-02-26,30
CHK00192,MB0750,C06,2024-05-30,30
CHK00193,MB0748,C08,2024-02-22,30
CHK00194,MB0493,C02,2024-01-04,45
CHK00195,MB0756,C05,2024-11-13,60
CHK00196,MB0442,C02,2024-10-15,90
CHK00197,MB0642,C01,2024-02-13,75
CHK00198,MB0745,C07,2024-09-25,45
CHK00199,MB0013,C07,2024-03-25,30
CHK00200,MB0022,C01,2024-04-27,75
CHK00201,MB0397,C04,2024-07-21,30
CHK00202,MB0506,C08,2024-11-14,30
CHK00203,MB0396,C07,2024-12-03,30
CHK00204,MB0005,C05,2024-01-18,30
CHK00205,MB0579,C06,2024-10-04,30
CHK00206,MB0247,C06,2024-07-22,90
CHK00207,MB0295,C06,2024-05-23,30
CHK00208,MB0527,C01,2024-02-04,45
CHK00209,MB0130,C02,2024-04-28,30
CHK00210,MB0635,C01,2024-12-24,45
CHK00211,MB0478,C03,2024-02-14,75
CHK00212,MB0653,C02,2024-06-20,45
CHK00213,MB0525,C07,2024-05-27,60
CHK00214,MB0029,C01,2024-12-11,75
CHK00215,MB0658,C02,2024-10-29,90
CHK00216,MB0671,C07,2024-09-17,30
CHK00217,MB0340,C01,2024-01-08,30
CHK00218,MB0316,C08,2024-03-19,60
CHK00219,MB0449,C08,2024-12-30,60
CHK00220,MB0008,C01,2024-07-09,60
CHK00221,MB0718,C05,2024-07-08,30
CHK00222,MB0043,C08,2024-04-30,30
CHK00223,MB0748,C08,2024-07-20,60
CHK00224,MB0119,C08,2024-03-13,45
CHK00225,MB0209,C02,2024-06-10,45
CHK00226,MB0247,C06,2024-09-19,60
CHK00227,MB0339,C07,2024-02-13,75
CHK00228,MB0646,C01,2024-06-26,30
CHK00229,MB0078,C07,2024-08-17,90
CHK00230,MB0600,C08,2024-10-23,30
CHK00231,MB0678,C01,2024-04-01,45
CHK00232,MB0119,C05,2024-10-05,30
CHK00233,MB0382,C08,2024-09-21,30
CHK00234,MB0670,C03,2024-02-15,90
CHK00235,MB0613,C01,2024-09-02,75
CHK00236,MB0049,C07,2024-06-19,90
CHK00237,MB0177,C01,2024-09-24,60
CHK00238,MB0413,C03,2024-09-05,60
CHK00239,MB0463,C04,2024-04-20,90
CHK00240,MB0050,C03,2024-05-26,30
CHK00241,MB0700,C03,2024-03-21,45
CHK00242,MB0515,C04,2024-09-10,30
CHK00243,MB0737,C05,2024-04-28,75
CHK00244,MB0237,C06,2024-09-01,60
CHK00245,MB0073,C02,2024-09-18,30
CHK00246,MB0225,C04,2024-06-14,45
CHK00247,MB0500,C08,2024-07-05,90
CHK00248,MB0474,C07,2024-03-12,90
CHK00249,MB0305,C05,2024-11-18,90
CHK00250,MB0433,C07,2024-05-30,75
CHK00251,MB0461,C01,2024-08-05,90
CHK00252,MB0445,C08,2024-01-22,45
CHK00253,MB0004,C01,2024-04-16,60
CHK00254,MB0731,C08,2024-12-15,30
CHK00255,MB0706,C02,2024-03-28,75
CHK00256,MB0445,C07,2024-11-18,30
CHK00257,MB0630,C01,2024-04-29,60
CHK00258,MB0330,C05,2024-11-09,90
CHK00259,MB0268,C02,2024-07-01,90
CHK00260,MB0511,C08,2024-07-19,90
CHK00261,MB0307,C05,2024-12-22,75
CHK00262,MB0669,C08,2024-12-10,30
CHK00263,MB0561,C08,2024-06-16,90
CHK00264,MB0406,C03,2024-08-28,60
CHK00265,MB0534,C02,2024-10-08,45
CHK00266,MB0622,C06,2024-07-17,60
CHK00267,MB0614,C06,2024-08-09,30
CHK00268,MB0273,C03,2024-04-07,90
CHK00269,MB0321,C03,2024-10-01,30
CHK00270,MB0676,C08,2024-04-16,30
CHK00271,MB0194,C01,2024-06-19,30
CHK00272,MB0426,C02,2024-11-08,60
CHK00273,MB0730,C03,2024-11-08,60
CHK00274,MB0353,C04,2024-02-11,60
CHK00275,MB0269,C07,2024-10-23,60
CHK00276,MB0334,C08,2024-11-23,30
CHK00277,MB0655,C06,2024-06-24,45
CHK00278,MB0147,C02,2024-03-31,90
CHK00279,MB0465,C06,2024-02-26,90
CHK00280,MB0469,C01,2024-07-25,90
CHK00281,MB0658,C07,2024-08-28,60
CHK00282,MB0053,C06,2024-11-23,45
CHK00283,MB0297,C06,2024-07-13,75
CHK00284,MB0187,C05,2024-12-05,30
CHK00285,MB0119,C01,2024-10-19,60
CHK00286,MB0139,C06,2024-12-07,90
CHK00287,MB0345,C07,2024-10-25,75
CHK00288,MB0534,C08,2024-04-05,60
CHK00289,MB0049,C07,2024-08-25,90
CHK00290,MB0739,C06,2024-04-08,90
CHK00291,MB0145,C03,2024-09-26,45
CHK00292,MB0543,C05,2024-03-03,75
CHK00293,MB0142,C02,2024-04-26,30
CHK00294,MB0569,C04,2024-04-04,90
CHK00295,MB0650,C02,2024-03-22,60
CHK00296,MB0212,C05,2024-12-18,30
CHK00297,MB0179,C03,2024-08-19,30
CHK00298,MB0733,C05,2024-04-28,30
CHK00299,MB0076,C04,2024-11-19,60
CHK00300,MB0376,C01,2024-04-09,75
CHK00301,MB0109,C06,2024-03-10,30
CHK00302,MB0289,C06,2024-01-21,45
CHK00303,MB0022,C06,2024-04-07,60
CHK00304,MB0727,C01,2024-12-17,30
CHK00305,MB0428,C05,2024-03-10,60
CHK00306,MB0406,C04,2024-05-25,30
CHK00307,MB0587,C02,2024-05-02,45
CHK00308,MB0253,C04,2024-03-14,90
CHK00309,MB0422,C07,2024-12-19,30
CHK00310,MB0703,C06,2024-06-04,90
CHK00311,MB0229,C02,2024-07-30,45
CHK00312,MB0282,C02,2024-08-15,75
CHK00313,MB0162,C05,2024-03-24,60
CHK00314,MB0142,C02,2024-09-27,60
CHK00315,MB0509,C03,2024-05-22,90
CHK00316,MB0379,C05,2024-08-01,75
CHK00317,MB0591,C02,2024-10-03,45
CHK00318,MB0324,C02,2024-03-13,30
CHK00319,MB0388,C05,2024-10-14,75
CHK00320,MB0273,C07,2024-08-26,45
CHK00321,MB0575,C06,2024-12-05,75
CHK00322,MB0636,C01,2024-07-20,75
CHK00323,MB0114,C02,2024-05-01,75
CHK00324,MB0205,C03,2024-08-07,45
CHK00325,MB0742,C05,2024-09-21,45
CHK00326,MB0037,C02,2024-12-08,30
CHK00327,MB0243,C02,2024-02-01,45
CHK00328,MB0655,C01,2024-12-06,30
CHK00329,MB0763,C04,2024-08-24,90
CHK00330,MB0098,C07,2024-03-28,45
CHK00331,MB0537,C01,2024-08-01,60
CHK00332,MB0374,C06,2024-06-16,45
CHK00333,MB0443,C06,2024-10-27,75
CHK00334,MB0063,C05,2024-06-25,30
CHK00335,MB0402,C06,2024-04-02,60
CHK00336,MB0331,C02,2024-09-10,75
CHK00337,MB0244,C05,2024-02-09,45
CHK00338,MB0409,C05,2024-11-07,90
CHK00339,MB0580,C08,2024-04-22,30
CHK00340,MB0319,C02,2024-10-30,30
CHK00341,MB0703,C05,2024-07-24,45
CHK00342,MB0667,C06,2024-01-15,45
CHK00343,MB0625,C05,2024-10-22,90
CHK00344,MB0427,C05,2024-10-05,90
CHK00345,MB0257,C03,2024-11-18,90
CHK00346,MB0776,C07,2024-08-25,45
CHK00347,MB0179,C02,2024-04-01,45
CHK00348,MB0507,C02,2024-07-14,75
CHK00349,MB0294,C05,2024-08-27,45
CHK00350,MB0525,C03,2024-05-06,90
CHK00351,MB0778,C08,2024-06-08,45
CHK00352,MB0544,C06,2024-01-19,45
CHK00353,MB0455,C01,2024-07-12,75
CHK00354,MB0480,C02,2024-03-21,75
CHK00355,MB0601,C07,2024-06-25,90
CHK00356,MB0730,C03,2024-12-20,60
CHK00357,MB0512,C03,2024-04-27,45
CHK00358,MB0526,C01,2024-01-11,45
CHK00359,MB0789,C08,2024-10-16,30
CHK00360,MB0294,C08,2024-08-26,45
CHK00361,MB0440,C03,2024-05-12,45
CHK00362,MB0473,C05,2024-07-11,45
CHK00363,MB0718,C05,2024-01-08,60
CHK00364,MB0403,C08,2024-08-04,60
CHK00365,MB0712,C06,2024-03-24,90
CHK00366,MB0405,C03,2024-08-19,75
CHK00367,MB0246,C03,2024-01-24,60
CHK00368,MB0461,C03,2024-03-25,30
CHK00369,MB0650,C03,2024-07-19,30
CHK00370,MB0410,C08,2024-01-25,75
CHK00371,MB0514,C02,2024-05-24,75
CHK00372,MB0203,C04,2024-10-13,90
CHK00373,MB0564,C08,2024-04-21,30
CHK00374,MB0002,C04,2024-12-29,90
CHK00375,MB0628,C04,2024-06-02,60
CHK00376,MB0774,C07,2024-12-11,75
CHK00377,MB0796,C08,2024-02-11,45
CHK00378,MB0329,C08,2024-03-21,90
CHK00379,MB0191,C07,2024-12-13,30
CHK00380,MB0411,C06,2024-03-29,75
CHK00381,MB0494,C08,2024-11-18,60
CHK00382,MB0071,C08,2024-02-19,60
CHK00383,MB0535,C07,2024-10-13,60
CHK00384,MB0291,C06,2024-01-28,90
CHK00385,MB0272,C07,2024-09-04,90
CHK00386,MB0547,C08,2024-03-29,90
CHK00387,MB0407,C04,2024-10-09,75
CHK00388,MB0049,C05,2024-04-30,60
CHK00389,MB0162,C08,2024-11-11,90
CHK00390,MB0258,C01,2024-04-27,60
CHK00391,MB0102,C03,2024-12-23,90
CHK00392,MB0733,C05,2024-06-23,30
CHK00393,MB0338,C03,2024-09-04,60
CHK00394,MB0489,C07,2024-01-27,75
CHK00395,MB0800,C07,2024-08-02,30
CHK00396,MB0298,C05,2024-06-08,75
CHK00397,MB0702,C03,2024-12-09,75
CHK00398,MB0064,C03,2024-08-15,30
CHK00399,MB0482,C08,2024-10-30,30
CHK00400,MB0019,C08,2024-07-25,30
CHK00401,MB0450,C07,2024-05-22,75
CHK00402,MB0182,C01,2024-03-12,45
CHK00403,MB0352,C06,2024-11-22,45
CHK00404,MB0510,C01,2024-02-08,30
CHK00405,MB0395,C06,2024-06-08,30
CHK00406,MB0017,C06,2024-01-10,45
CHK00407,MB0537,C05,2024-04-30,45
CHK00408,MB0223,C07,2024-04-05,60
CHK00409,MB0010,C07,2024-06-20,45
CHK00410,MB0414,C03,2024-03-26,45
CHK00411,MB0687,C07,2024-08-25,60
CHK00412,MB0796,C08,2024-09-19,60
CHK00413,MB0706,C08,2024-01-24,30
CHK00414,MB0736,C05,2024-08-29,45
CHK00415,MB0441,C05,2024-10-06,30
CHK00416,MB0184,C07,2024-11-06,60
CHK00417,MB0261,C01,2024-02-27,30
CHK00418,MB0512,C01,2024-09-15,30
CHK00419,MB0768,C02,2024-01-10,90
CHK00420,MB0707,C07,2024-11-19,75
CHK00421,MB0356,C02,2024-02-19,75
CHK00422,MB0200,C01,2024-03-12,75
CHK00423,MB0357,C03,2024-05-08,45
CHK00424,MB0145,C06,2024-08-08,60
CHK00425,MB0176,C04,2024-09-26,30
CHK00426,MB0112,C04,2024-01-08,60
CHK00427,MB0735,C03,2024-01-02,60
CHK00428,MB0097,C02,2024-12-29,60
CHK00429,MB0478,C08,2024-05-30,30
CHK00430,MB0473,C02,2024-01-25,75
CHK00431,MB0695,C04,2024-11-06,90
CHK00432,MB0435,C03,2024-07-02,45
CHK00433,MB0079,C08,2024-09-02,90
CHK00434,MB0605,C05,2024-03-08,90
CHK00435,MB0160,C08,2024-05-26,75
CHK00436,MB0709,C02,2024-04-15,90
CHK00437,MB0293,C03,2024-07-09,75
CHK00438,MB0237,C04,2024-02-11,75
CHK00439,MB0519,C02,2024-06-18,30
CHK00440,MB0157,C03,2024-03-07,75
CHK00441,MB0635,C04,2024-02-21,30
CHK00442,MB0288,C01,2024-07-25,75
CHK00443,MB0203,C06,2024-02-02,75
CHK00444,MB0688,C02,2024-03-16,60
CHK00445,MB0716,C06,2024-05-17,45
CHK00446,MB0102,C07,2024-12-05,75
CHK00447,MB0113,C05,2024-10-25,90
CHK00448,MB0190,C05,2024-07-24,90
CHK00449,MB0415,C08,2024-12-28,90
CHK00450,MB0133,C04,2024-04-25,30
CHK00451,MB0155,C07,2024-03-28,30
CHK00452,MB0077,C03,2024-11-19,90
CHK00453,MB0583,C06,2024-06-05,90
CHK00454,MB0159,C08,2024-08-04,60
CHK00455,MB0219,C02,2024-06-23,45
CHK00456,MB0621,C02,2024-08-10,90
CHK00457,MB0186,C06,2024-02-23,75
CHK00458,MB0239,C05,2024-09-03,75
CHK00459,MB0382,C01,2024-07-13,90
CHK00460,MB0439,C05,2024-04-20,60
CHK00461,MB0263,C07,2024-07-06,75
CHK00462,MB0115,C01,2024-07-17,45
CHK00463,MB0743,C01,2024-08-16,45
CHK00464,MB0094,C07,2024-10-05,45
CHK00465,MB0655,C04,2024-04-07,30
CHK00466,MB0399,C04,2024-05-25,45
CHK00467,MB0539,C06,2024-02-11,45
CHK00468,MB0304,C02,2024-04-23,60
CHK00469,MB0656,C07,2024-02-21,75
CHK00470,MB0241,C07,2024-03-03,60
CHK00471,MB0076,C03,2024-03-22,90
CHK00472,MB0499,C04,2024-07-27,60
CHK00473,MB0642,C05,2024-09-02,30
CHK00474,MB0422,C02,2024-10-10,60
CHK00475,MB0060,C04,2024-12-16,90
CHK00476,MB0714,C06,2024-07-20,30
CHK00477,MB0080,C06,2024-08-06,90
CHK00478,MB0129,C03,2024-02-14,60
CHK00479,MB0174,C08,2024-10-06,30
CHK00480,MB0764,C06,2024-06-06,75
CHK00481,MB0597,C08,2024-12-28,90
CHK00482,MB0311,C06,2024-03-21,30
CHK00483,MB0448,C04,2024-03-25,75
CHK00484,MB0344,C01,2024-02-20,60
CHK00485,MB0461,C06,2024-10-17,60
CHK00486,MB0527,C02,2024-04-24,60
CHK00487,MB0068,C06,2024-06-30,75
CHK00488,MB0519,C05,2024-10-24,90
CHK00489,MB0318,C07,2024-07-19,60
CHK00490,MB0091,C06,2024-07-01,45
CHK00491,MB0329,C07,2024-07-11,45
CHK00492,MB0020,C03,2024-08-28,75
CHK00493,MB0282,C02,2024-08-14,45
CHK00494,MB0781,C06,2024-02-25,90
CHK00495,MB0743,C07,2024-03-21,45
CHK00496,MB0692,C08,2024-11-04,30
CHK00497,MB0474,C07,2024-07-01,30
CHK00498,MB0487,C05,2024-04-15,60
CHK00499,MB0549,C05,2024-06-04,45
CHK00500,MB0336,C04,2024-08-04,30
CHK00501,MB0295,C05,2024-12-30,75
CHK00502,MB0380,C07,2024-11-12,90
CHK00503,MB0356,C02,2024-01-01,60
CHK00504,MB0573,C03,2024-11-28,90
CHK00505,MB0564,C07,2024-10-20,90
CHK00506,MB0619,C01,2024-11-11,45
CHK00507,MB0579,C04,2024-10-28,45
CHK00508,MB0656,C04,2024-06-09,90
CHK00509,MB0786,C07,2024-06-01,60
CHK00510,MB0512,C02,2024-06-14,60
CHK00511,MB0534,C07,2024-02-13,30
CHK00512,MB0576,C02,2024-07-18,45
CHK00513,MB0548,C07,2024-01-11,45
CHK00514,MB0631,C04,2024-11-03,90
CHK00515,MB0765,C02,2024-07-27,75
CHK00516,MB0053,C03,2024-06-05,30
CHK00517,MB0122,C03,2024-11-23,45
CHK00518,MB0444,C03,2024-12-14,45
CHK00519,MB0599,C01,2024-05-30,90
CHK00520,MB0599,C03,2024-10-01,30
CHK00521,MB0799,C06,2024-03-10,75
CHK00522,MB0640,C04,2024-12-18,45
CHK00523,MB0589,C08,2024-10-18,75
CHK00524,MB0608,C06,2024-03-17,90
CHK00525,MB0796,C04,2024-03-14,75
CHK00526,MB0137,C08,2024-03-18,45
CHK00527,MB0524,C05,2024-09-28,75
CHK00528,MB0249,C01,2024-03-31,45
CHK00529,MB0254,C04,2024-04-30,75
CHK00530,MB0640,C01,2024-01-24,45
CHK00531,MB0766,C07,2024-10-15,30
CHK00532,MB0498,C07,2024-05-18,75
CHK00533,MB0682,C08,2024-04-19,45
CHK00534,MB0687,C01,2024-10-09,75
CHK00535,MB0796,C02,2024-02-05,75
CHK00536,MB0653,C04,2024-01-18,90
CHK00537,MB0536,C04,2024-12-10,75
CHK00538,MB0551,C01,2024-08-16,30
CHK00539,MB0162,C01,2024-08-18,90
CHK00540,MB0211,C03,2024-11-16,90
CHK00541,MB0086,C01,2024-06-18,60
CHK00542,MB0309,C05,2024-07-11,30
CHK00543,MB0532,C07,2024-06-21,60
CHK00544,MB0289,C01,2024-08-24,45
CHK00545,MB0291,C07,2024-07-24,90
CHK00546,MB0033,C05,2024-08-14,60
CHK00547,MB0505,C03,2024-10-12,60
CHK00548,MB0106,C06,2024-02-04,75
CHK00549,MB0343,C03,2024-10-22,60
CHK00550,MB0072,C07,2024-03-01,75
CHK00551,MB0050,C02,2024-08-27,60
CHK00552,MB0267,C07,2024-12-13,45
CHK00553,MB0288,C05,2024-03-16,45
CHK00554,MB0545,C01,2024-10-28,90
CHK00555,MB0326,C03,2024-05-09,60
CHK00556,MB0646,C02,2024-09-24,30
CHK00557,MB0289,C01,2024-12-21,90
CHK00558,MB0631,C02,2024-11-29,90
CHK00559,MB0041,C01,2024-12-24,30
CHK00560,MB0207,C02,2024-01-22,45
CHK00561,MB0603,C07,2024-01-30,90
CHK00562,MB0473,C02,2024-02-04,75
CHK00563,MB0603,C01,2024-03-20,60
CHK00564,MB0426,C06,2024-11-17,90
CHK00565,MB0547,C02,2024-09-02,60
CHK00566,MB0452,C03,2024-08-22,30
CHK00567,MB0420,C01,2024-08-21,60
CHK00568,MB0160,C05,2024-07-15,60
CHK00569,MB0673,C06,2024-12-11,45
CHK00570,MB0250,C04,2024-11-29,30
CHK00571,MB0235,C07,2024-01-23,60
CHK00572,MB0172,C07,2024-02-25,90
CHK00573,MB0044,C01,2024-04-06,60
CHK00574,MB0036,C07,2024-08-05,30
CHK00575,MB0436,C01,2024-10-16,60
CHK00576,MB0779,C04,2024-04-23,90
CHK00577,MB0140,C01,2024-06-18,60
CHK00578,MB0464,C08,2024-07-31,30
CHK00579,MB0787,C05,2024-01-03,45
CHK00580,MB0292,C05,2024-10-30,90
CHK00581,MB0520,C04,2024-04-18,45
CHK00582,MB0498,C02,2024-04-11,90
CHK00583,MB0759,C07,2024-05-09,30
CHK00584,MB0056,C05,2024-08-12,60
CHK00585,MB0475,C03,2024-10-20,30
CHK00586,MB0705,C04,2024-05-01,45
CHK00587,MB0247,C05,2024-04-05,45
CHK00588,MB0162,C05,2024-12-19,90
CHK00589,MB0546,C07,2024-01-12,90
CHK00590,MB0419,C02,2024-04-17,60
CHK00591,MB0564,C02,2024-02-01,75
CHK00592,MB0143,C07,2024-09-30,30
CHK00593,MB0478,C03,2024-07-01,75
CHK00594,MB0609,C05,2024-06-06,90
CHK00595,MB0636,C05,2024-05-07,30
CHK00596,MB0492,C06,2024-10-10,45
CHK00597,MB0556,C08,2024-11-14,90
CHK00598,MB0404,C03,2024-08-23,45
CHK00599,MB0405,C08,2024-02-11,75
CHK00600,MB0086,C06,2024-08-07,30
CHK00601,MB0009,C04,2024-10-26,45
CHK00602,MB0658,C03,2024-09-17,30
CHK00603,MB0672,C07,2024-06-27,45
CHK00604,MB0176,C03,2024-11-17,30
CHK00605,MB0728,C08,2024-10-16,60
CHK00606,MB0316,C02,2024-05-21,60
